Week;Zraneni;AU
1.tyzden.2015;6;81.718750
2.tyzden.2015;6;62.666667
3.tyzden.2015;22;44.440476
4.tyzden.2015;9;55.654762
5.tyzden.2015;24;85.488095
6.tyzden.2015;12;70.952381
7.tyzden.2015;4;36.750000
8.tyzden.2015;6;79.916667
9.tyzden.2015;6;79.386905
tyzden.2015;8;79.952381
11.tyzden.2015;10;47.446428
12.tyzden.2015;14;100.351190
13.tyzden.2015;12;80.160714
tyzden.2015;14;50.851191
15.tyzden.2015;15;70.958333
16.tyzden.2015;9;114.464286
tyzden.2015;11;60.297619
18.tyzden.2015;15;64.708333
19.tyzden.2015;17;72.892857
20.tyzden.2015;21;130.148810
21.tyzden.2015;19;55.982143
22.tyzden.2015;18;54.827381
23.tyzden.2015;33;45.238095
24.tyzden.2015;22;130.101191
25.tyzden.2015;11;95.422619
26.tyzden.2015;9;148.261905
27.tyzden.2015;18;65.666666
28.tyzden.2015;23;90.779762
29.tyzden.2015;15;87.857143
30.tyzden.2015;20;83.214286
31.tyzden.2015;21;91.196429
32.tyzden.2015;22;112.904762
33.tyzden.2015;14;122.273810
34.tyzden.2015;20;111.113095
35.tyzden.2015;16;159.488095
36.tyzden.2015;22;79.970238
37.tyzden.2015;21;131.142857
38.tyzden.2015;24;93.059524
39.tyzden.2015;18;45.011905
40.tyzden.2015;14;82.732143
41.tyzden.2015;14;111.660714
42.tyzden.2015;19;88.839286
43.tyzden.2015;14;47.047619
44.tyzden.2015;18;39.642857
45.tyzden.2015;18;79.761905
46.tyzden.2015;16;74.517857
47.tyzden.2015;19;50.351190
48.tyzden.2015;19;32.273809
49.tyzden.2015;15;67.839286
50.tyzden.2015;17;70.773810
51.tyzden.2015;21;68.208333
52.tyzden.2015;22;64.871212
